timestamp,data
2024-09-02 16:38:27.223,"2,19,1,0,1,1,1,0,0,0,0,5,0,0,0,0,1,1,0,0,2,4,0,0,6,50,102,78,73,89,0,2,0,0,10,162,138,124,94,89,0,1,0,0,3,103,191,100,72,25,0,0,0,2,4,41,49,137,138,113,0,0,0,0,3,2,10,28,99,83,0,0,0,0,1,0,0,0,0,0,10,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0"
2024-09-02 16:38:27.297,"2,19,0,0,1,1,0,0,0,0,0,5,0,0,0,0,2,0,0,0,1,4,0,0,6,51,102,79,73,89,0,2,0,1,10,162,138,124,95,89,0,1,0,0,3,103,191,100,72,25,0,1,0,2,4,41,49,137,138,113,0,1,0,0,3,2,10,28,99,83,0,0,0,0,1,0,0,0,1,0,11,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0"
2024-09-02 16:38:27.422,"2,19,1,0,1,1,1,0,0,0,0,5,0,0,0,0,1,1,0,0,1,4,0,0,6,50,103,79,73,89,0,2,0,0,11,162,137,124,94,89,0,1,0,0,3,103,191,99,72,27,0,1,0,2,4,41,49,136,138,112,0,0,0,0,3,2,11,28,99,82,0,0,0,0,1,0,0,0,0,0,11,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0"
2024-09-02 16:38:27.463,"2,19,1,0,1,1,1,0,0,0,0,5,0,0,0,0,1,1,0,0,1,4,0,0,6,51,103,80,73,88,0,2,0,0,10,161,138,124,95,89,0,1,0,0,3,103,191,99,72,31,0,1,0,2,4,42,48,136,136,112,0,1,0,0,3,2,11,28,99,81,0,0,0,0,1,0,0,0,0,0,11,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0"
2024-09-02 16:38:27.549,"2,19,1,0,1,1,1,0,0,0,0,5,0,0,0,0,1,0,0,0,1,4,0,0,6,51,103,80,73,87,0,2,0,0,11,162,137,123,95,89,0,1,0,0,3,103,191,100,71,37,0,0,0,2,4,41,49,136,137,111,0,0,0,0,3,2,10,28,99,80,0,0,0,0,0,0,0,0,0,0,11,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0"
2024-09-02 16:38:27.627,"2,19,1,0,0,1,1,0,0,0,0,5,0,0,0,1,1,1,0,0,1,4,0,0,6,50,103,82,73,86,0,2,0,0,11,162,137,123,96,90,0,1,0,0,3,103,191,100,71,39,0,1,0,2,4,40,49,136,137,110,0,0,0,0,3,2,11,28,98,79,0,0,0,0,0,0,0,0,0,0,11,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0"
2024-09-02 16:38:27.723,"2,19,1,0,1,1,1,0,0,0,0,5,0,0,0,0,1,1,0,0,1,4,0,0,6,50,103,81,74,86,0,2,0,1,11,162,137,123,96,90,0,1,0,0,3,103,191,99,71,42,0,1,0,2,4,43,49,136,137,110,0,0,0,0,3,2,10,28,98,78,0,0,0,0,1,0,0,0,0,0,11,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
2024-09-02 16:38:27.892,"2,19,1,0,1,1,1,0,0,0,0,5,0,0,0,0,2,0,1,0,1,4,0,0,6,50,103,81,74,86,0,2,0,1,11,162,135,123,96,92,0,1,0,0,3,103,191,99,71,42,0,1,0,2,4,42,49,136,137,110,0,0,0,0,3,2,11,27,98,76,0,0,0,0,1,0,0,0,0,0,11,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0"
2024-09-02 16:38:27.892,"2,19,1,0,1,1,1,0,0,0,0,5,0,0,0,1,1,1,0,0,1,4,0,0,6,50,103,82,74,85,0,2,0,0,11,162,135,123,97,91,0,1,0,0,3,103,191,100,71,46,0,1,0,2,4,41,49,136,137,110,0,1,0,0,3,2,10,26,98,76,0,0,0,0,1,0,0,0,0,0,11,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0"
2024-09-02 16:38:27.968,"2,19,0,0,0,1,1,0,0,0,0,5,0,0,0,0,2,0,0,0,1,4,0,0,6,49,104,82,74,85,0,2,0,1,10,161,135,123,97,91,0,1,0,0,3,103,192,100,70,49,0,0,0,2,4,42,49,136,137,109,0,0,0,0,3,2,10,27,98,75,0,0,0,0,0,0,0,0,0,0,10,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0"
