timestamp,data
2024-08-20 15:14:26.188,"0,0,2,50,11,0,7,0,4,0,0,0,0,0,0,5,0,0,1,0,2,6,49,43,11,2,6,0,1,0,2,50,21,48,21,3,0,0,1,0,9,3,30,41,36,17,0,1,1,0,1,7,21,23,31,5,0,0,0,1,1,0,9,15,28,1,0,0,0,0,0,11,19,36,47,2,0,0,0,1,1,1,55,75,45,18,0,0,0,0,1,11,33,26,11,2,1,1,0,0,6,55,31,4,13,12,0,6,0,0,2,22,45,32,20,19,0,1,0,0,6,0,1,6,0,2,51,0,3,0,1,0,0,1,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0"
2024-08-20 15:14:26.209,"0,0,2,49,11,0,6,0,5,0,0,0,0,0,0,4,0,0,1,0,2,6,49,43,11,3,6,0,0,0,2,50,21,48,20,3,0,0,1,0,9,3,30,41,36,16,0,2,1,0,0,7,22,23,30,5,0,0,0,1,1,0,9,15,27,0,0,0,0,0,0,11,19,37,46,2,1,0,0,1,1,1,55,75,45,18,0,0,0,0,1,11,33,27,11,2,1,1,0,0,6,55,32,4,13,12,0,6,0,0,2,22,45,32,20,18,0,1,0,0,6,0,1,6,0,2,51,0,4,0,1,0,1,1,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0"
2024-08-20 15:14:26.224,"0,0,2,49,11,0,6,0,4,0,0,0,0,0,0,5,1,0,0,0,2,6,49,43,11,3,6,0,0,0,2,50,21,48,21,2,0,0,1,0,10,4,30,41,36,16,0,1,1,0,0,7,21,23,30,5,0,0,0,1,1,0,9,15,27,1,0,0,0,0,0,11,20,37,46,2,1,0,0,1,0,1,55,75,45,19,0,0,0,0,0,11,33,27,11,1,1,1,0,0,6,55,31,5,13,12,0,6,0,0,2,21,45,32,20,18,0,1,0,0,7,0,1,6,0,2,51,0,4,0,1,1,1,1,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0"
2024-08-20 15:14:26.290,"0,0,2,49,11,0,6,0,4,0,0,0,0,0,0,4,0,0,1,0,2,6,49,43,11,3,6,0,0,0,2,50,21,48,21,3,0,0,1,0,10,3,30,42,37,17,0,1,1,0,1,7,21,23,30,5,0,0,0,1,1,0,9,15,27,0,0,0,0,0,0,11,20,37,46,2,1,0,0,1,0,1,55,75,45,18,1,0,0,0,1,11,33,27,11,1,1,1,0,0,6,55,31,4,13,12,0,6,0,0,2,21,45,32,20,19,0,1,0,0,6,0,1,6,0,2,51,0,4,0,1,0,1,1,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0"
2024-08-20 15:14:26.319,"0,0,2,50,11,0,5,0,4,0,0,0,0,0,0,5,0,0,0,0,2,6,49,43,10,3,6,0,0,0,2,50,21,48,21,2,0,0,1,0,10,3,30,41,37,16,0,1,1,0,1,7,21,23,30,5,0,0,0,1,1,0,9,15,27,1,0,0,0,0,0,11,20,37,46,2,1,0,0,1,0,1,55,75,45,18,0,0,0,0,0,11,34,27,11,2,1,1,0,0,6,55,31,4,13,12,0,6,0,0,2,21,45,32,20,19,0,1,0,0,6,0,1,6,0,2,51,0,4,0,1,1,1,1,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0"
2024-08-20 15:14:26.386,"0,0,2,50,10,0,6,0,4,0,0,0,0,0,0,5,0,0,1,0,2,6,49,43,11,3,6,0,0,0,2,50,21,48,21,2,0,0,1,0,10,4,30,41,37,17,0,1,1,0,1,7,22,23,30,5,0,0,0,1,1,0,9,15,27,1,0,0,0,0,0,11,20,36,46,2,1,0,0,1,1,1,55,75,45,18,0,0,0,0,1,11,33,26,11,2,1,1,0,0,6,55,31,4,13,12,0,6,0,0,2,21,45,31,20,19,0,1,0,0,6,0,1,6,0,2,51,0,3,0,1,0,1,1,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0"
2024-08-20 15:14:26.474,"0,0,2,50,11,0,6,0,4,0,0,0,0,0,0,4,0,0,0,0,2,6,49,43,11,3,6,0,0,0,2,50,21,48,21,2,0,0,1,0,10,4,30,41,37,17,0,1,1,0,0,7,21,23,30,5,0,0,0,1,1,0,9,15,27,1,0,0,0,0,0,11,20,37,47,2,0,0,0,1,0,1,55,75,45,18,0,0,0,0,1,11,33,27,12,2,0,1,0,0,6,55,31,4,13,12,0,6,0,0,2,21,44,32,20,19,0,1,0,0,6,0,1,5,0,2,51,0,4,0,1,0,1,1,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0"
2024-08-20 15:14:26.551,"0,0,2,50,11,0,6,0,4,0,0,0,0,0,0,5,0,0,1,0,2,6,49,43,11,3,6,0,0,0,2,50,21,48,21,3,0,0,1,0,10,3,30,41,37,17,0,1,0,0,1,6,21,23,31,5,0,0,0,1,1,0,9,15,27,1,0,0,0,0,0,11,20,36,46,2,1,0,0,1,1,1,55,75,45,18,0,0,0,0,1,11,33,27,11,2,1,1,0,0,6,55,31,4,13,12,0,6,0,0,2,21,45,31,20,19,0,1,0,0,7,0,1,6,1,2,51,0,4,0,1,1,1,1,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0"
2024-08-20 15:14:26.629,"0,0,2,50,11,0,6,0,4,0,0,0,0,0,0,5,0,0,1,0,2,6,49,43,11,3,6,0,0,0,2,49,21,48,20,3,0,0,1,0,9,3,29,41,37,17,0,1,1,0,1,6,21,23,31,4,0,0,0,1,1,0,9,15,28,1,0,0,0,0,0,11,20,37,46,2,1,0,0,1,1,1,55,75,45,18,0,0,0,0,1,11,33,27,11,2,0,1,0,0,6,55,31,4,13,12,0,6,0,0,3,21,44,32,20,19,0,1,0,0,6,0,1,6,0,2,52,0,4,0,1,0,0,1,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0"
2024-08-20 15:14:26.720,"0,0,2,50,11,0,5,0,4,0,0,0,0,0,0,5,0,0,1,0,2,6,49,43,12,3,6,0,0,0,2,50,21,48,20,2,0,0,1,0,9,3,28,41,36,16,0,1,1,0,1,7,22,23,31,5,0,0,0,1,1,0,9,15,28,1,0,0,0,0,0,11,19,36,47,2,1,0,0,1,0,1,55,75,45,18,0,0,0,0,1,11,33,27,11,1,1,1,1,0,5,55,31,4,13,12,0,6,0,0,2,21,45,31,20,19,0,1,0,0,6,0,1,5,0,2,52,0,3,0,1,0,0,1,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0"
2024-08-20 15:14:26.797,"0,0,2,50,11,0,5,0,4,0,0,0,0,0,0,5,0,0,0,0,2,6,50,43,12,2,6,0,0,0,2,50,21,48,20,2,0,0,1,0,9,3,27,41,36,16,0,1,0,0,1,7,22,23,31,5,0,0,0,1,1,1,9,15,28,1,0,0,0,0,0,11,19,36,47,2,1,0,0,1,1,1,55,75,45,18,0,0,0,0,1,11,33,26,11,2,1,1,0,0,6,55,32,4,13,12,0,6,0,0,2,21,45,32,20,19,0,1,0,0,6,0,1,5,0,2,52,0,3,0,0,0,1,1,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0"
2024-08-20 15:14:26.890,"0,0,3,50,11,0,7,0,4,0,0,0,0,0,0,5,0,0,0,0,2,6,50,43,12,3,6,0,0,0,2,50,21,48,20,3,0,0,1,0,9,3,28,41,36,16,0,1,1,0,1,6,21,23,31,4,0,0,0,1,2,0,9,15,28,1,0,0,0,0,0,11,19,36,46,2,1,0,0,2,1,1,55,75,45,18,0,0,0,0,1,11,33,27,11,2,0,1,0,0,5,55,32,4,13,12,0,6,0,0,2,22,45,32,20,19,0,1,0,0,6,0,1,6,0,2,52,0,4,0,1,0,1,1,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0"
2024-08-20 15:14:26.964,"0,0,2,50,11,0,6,0,4,0,0,0,0,0,0,5,0,0,0,0,2,6,50,43,12,3,6,0,0,0,2,50,21,48,20,2,0,0,1,0,10,4,29,41,36,16,0,1,0,0,1,7,22,22,31,5,0,0,0,1,1,0,9,15,27,1,0,0,0,0,0,11,19,37,46,2,1,0,0,1,0,1,55,75,45,18,0,0,0,0,1,11,33,26,11,1,1,1,0,0,5,55,32,4,13,12,0,6,0,0,2,22,45,32,20,19,0,1,0,0,7,0,1,6,0,2,52,0,4,0,1,0,1,1,0,1,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0"
