timestamp,data
2024-08-20 11:35:26.587,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,12,12,6,1,0,0,1,17,49,47,25,39,35,0,0,0,1,54,75,63,66,64,34,0,0,0,4,53,107,83,33,45,39,0,0,1,2,7,30,40,70,69,5,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,3,0,1,2,0,6,2,0,2,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0"
2024-08-20 11:35:26.666,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,4,11,12,6,1,0,0,1,17,49,47,25,39,34,0,0,0,1,54,75,63,66,64,34,0,0,0,4,53,107,83,33,45,39,0,0,1,2,7,30,41,70,69,5,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,2,0,1,2,0,5,2,1,2,0,1,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0"
2024-08-20 11:35:26.754,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,11,12,7,0,0,0,1,17,49,47,25,39,35,0,0,0,1,54,75,63,66,64,34,0,0,0,4,53,107,83,33,45,39,0,0,1,2,7,30,40,70,69,5,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,2,0,1,2,0,6,2,0,2,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0"
2024-08-20 11:35:27.047,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,4,11,12,6,1,0,0,1,17,49,47,26,39,35,0,0,0,0,54,75,63,66,64,34,0,0,0,4,53,107,83,33,45,39,0,0,1,2,7,30,40,70,68,5,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,3,0,1,2,0,5,2,0,2,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0"
2024-08-20 11:35:27.071,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,4,11,12,7,0,0,0,1,17,49,47,26,40,35,0,0,0,1,54,75,63,66,64,34,0,0,0,4,53,107,83,33,45,39,0,0,1,2,7,30,41,70,69,5,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,3,0,1,2,0,6,2,0,2,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0"
2024-08-20 11:35:27.087,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,4,11,12,6,1,0,0,1,17,49,47,26,40,35,0,0,0,1,54,75,63,66,64,34,0,0,0,4,53,107,83,33,45,39,0,0,1,2,7,30,40,70,69,5,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,2,0,1,2,0,5,2,0,2,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0"
2024-08-20 11:35:27.153,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,5,11,12,6,0,0,0,1,17,50,47,26,39,35,0,0,0,1,54,75,63,66,64,34,0,0,0,3,53,107,83,33,45,39,0,0,1,2,7,30,40,70,69,5,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,2,0,1,2,0,5,2,0,2,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0"
2024-08-20 11:35:27.168,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,5,11,12,6,1,0,0,1,17,49,47,26,40,35,0,0,0,1,54,75,63,66,64,34,0,0,0,4,53,107,83,33,45,39,0,0,1,2,7,30,40,70,69,5,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,3,0,1,2,0,5,2,0,2,0,0,0,0,3,0,0,1,0,0,0,8,0,0,0,0,0,4,0,0,0"
2024-08-20 11:35:27.245,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,5,11,11,6,1,0,0,1,17,49,47,26,39,35,0,0,0,1,54,75,63,66,64,34,0,0,0,3,54,107,83,33,45,39,0,0,1,2,7,30,40,70,69,5,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,2,0,1,2,0,5,2,0,2,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0"
2024-08-20 11:35:27.335,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,4,11,12,6,0,0,0,1,17,49,47,26,40,35,0,0,0,1,54,75,63,66,64,34,0,0,0,3,53,107,83,33,45,39,0,0,2,2,7,30,40,70,68,5,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,2,0,1,2,0,5,2,0,2,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0"
2024-08-20 11:35:27.414,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,4,11,12,6,1,0,0,1,17,49,47,26,39,35,0,0,0,1,55,75,63,66,64,34,0,0,0,3,53,106,83,33,45,39,0,0,1,3,7,30,40,70,69,5,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,3,0,1,2,0,6,2,0,2,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0"
2024-08-20 11:35:27.500,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,4,11,12,6,0,0,0,1,17,50,47,26,40,35,0,0,0,1,55,75,63,66,64,34,0,0,0,4,53,107,82,33,45,39,0,0,1,2,7,29,40,70,69,5,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,3,0,1,2,0,5,2,0,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0"
2024-08-20 11:35:27.582,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,4,11,12,6,1,0,0,1,17,49,47,26,40,35,0,0,0,1,54,75,64,66,64,34,0,0,0,4,53,107,83,33,45,39,0,0,1,2,7,29,40,70,69,5,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,3,0,1,2,0,5,2,1,2,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0"
2024-08-20 11:35:27.660,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,11,12,6,1,0,0,1,17,49,47,26,40,34,0,0,0,1,54,76,63,66,64,34,0,0,0,3,54,107,83,33,45,39,0,0,1,2,7,29,40,70,69,5,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,2,0,1,2,0,5,2,1,2,0,1,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0"
2024-08-20 11:35:27.756,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,4,11,12,6,1,0,0,1,17,49,48,26,40,36,0,0,0,1,54,76,63,66,64,34,0,0,0,3,54,107,83,33,45,39,0,0,1,2,7,29,40,70,69,5,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,3,0,1,2,0,5,3,0,2,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0"
2024-08-20 11:35:27.832,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,4,11,12,6,1,0,0,1,17,49,47,26,40,35,0,0,0,0,54,76,63,65,64,34,0,0,0,3,53,107,82,33,45,39,0,0,1,2,7,29,40,70,69,5,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,2,0,1,2,0,6,2,0,2,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0"
