timestamp,data
2024-08-20 15:25:17.841,"0,0,0,1,0,0,29,0,7,0,0,0,0,3,0,6,26,0,3,0,1,0,0,3,9,1,2,2,2,2,0,0,0,7,8,92,99,85,4,0,0,1,0,0,16,53,40,20,51,2,0,0,0,1,42,45,8,1,1,8,0,0,0,8,33,38,3,3,0,0,0,0,1,45,53,13,1,18,0,0,1,0,28,83,29,10,0,11,0,0,0,1,18,49,48,14,0,1,1,0,1,12,5,21,42,18,4,1,1,0,3,2,9,9,19,23,0,1,0,0,41,26,55,41,22,1,0,0,0,0,2,0,1,5,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0"
2024-08-20 15:25:17.929,"0,0,0,1,0,0,30,0,7,0,0,0,0,3,0,6,26,0,3,0,1,0,0,3,9,1,2,1,2,2,0,0,0,7,8,92,99,85,4,0,0,1,0,0,17,53,40,20,51,2,0,0,0,1,42,45,8,1,1,8,0,0,0,9,34,38,3,3,0,0,0,0,1,46,53,13,1,19,0,0,1,0,28,82,27,10,0,11,0,0,0,1,18,49,49,14,1,1,1,0,1,12,5,21,43,19,4,1,1,0,3,2,10,9,19,24,0,0,0,0,38,24,55,41,23,2,0,0,0,0,2,0,1,5,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0"
2024-08-20 15:25:18.007,"0,0,0,2,0,0,30,0,7,0,0,0,0,2,0,6,27,0,3,0,2,0,0,3,9,1,2,1,2,2,0,0,0,7,7,91,99,85,4,0,0,2,0,1,17,53,40,20,51,2,0,0,0,1,42,45,8,1,0,8,0,0,0,10,33,38,3,4,0,0,0,0,1,46,53,13,1,20,0,0,1,0,26,82,27,10,0,12,0,0,1,2,18,49,49,14,0,1,0,0,1,12,5,20,43,19,4,1,1,0,4,2,9,9,19,25,1,0,0,0,37,23,56,41,23,2,0,1,0,0,2,0,2,4,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0"
2024-08-20 15:25:18.103,"0,0,0,1,0,0,30,0,7,0,0,0,0,3,0,6,28,0,3,0,1,0,0,4,9,1,2,1,2,2,0,0,0,7,8,91,99,85,4,0,0,2,0,0,17,53,40,20,51,2,0,0,0,0,42,46,8,1,0,8,0,0,0,10,33,38,3,3,0,0,0,0,2,46,53,13,1,20,0,0,1,0,27,81,26,10,0,12,0,0,1,1,19,50,49,14,0,1,1,0,1,12,5,20,43,19,4,1,1,0,4,2,10,9,19,25,0,0,0,0,39,24,56,41,23,2,0,0,0,0,2,0,2,5,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0"
2024-08-20 15:25:18.180,"0,0,0,1,0,0,30,0,7,0,0,0,0,3,0,6,28,0,3,0,1,0,0,3,9,1,2,1,2,2,0,0,0,7,8,91,99,85,4,0,0,1,0,0,18,53,40,20,51,2,0,0,0,1,43,46,8,1,1,8,0,0,0,10,33,38,3,3,0,0,0,0,1,46,53,13,1,19,0,0,2,0,28,82,26,10,0,12,0,0,1,1,18,49,49,14,1,1,1,0,1,13,5,20,43,19,4,1,1,0,4,2,9,9,19,25,0,0,0,0,40,24,56,41,23,2,0,1,0,0,2,0,1,5,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0"
2024-08-20 15:25:18.258,"0,0,0,1,0,0,31,0,7,0,0,0,0,3,0,6,28,0,3,0,1,0,0,3,9,1,2,1,2,2,0,0,0,7,8,92,99,85,4,0,0,1,0,0,19,53,40,20,51,2,0,0,0,1,42,46,8,1,1,8,0,0,0,12,33,37,3,3,0,0,0,0,1,46,53,13,1,19,0,0,1,0,29,82,26,10,0,12,0,0,1,1,18,49,49,14,0,1,1,0,1,12,5,21,42,19,4,1,1,0,4,2,9,8,19,25,0,0,0,0,41,25,56,41,23,2,0,0,0,0,2,0,1,4,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0"
2024-08-20 15:25:18.355,"0,0,0,1,0,0,31,0,7,0,0,0,0,3,0,6,28,0,3,0,2,0,0,3,10,1,2,1,2,2,0,0,0,7,8,91,99,85,4,0,0,1,0,1,19,53,40,21,51,2,0,0,0,1,43,46,8,1,0,8,0,0,0,12,33,38,3,3,0,0,0,0,1,45,53,13,1,18,0,0,1,0,30,82,26,10,0,11,0,0,1,1,18,49,49,14,0,1,1,0,1,12,5,21,42,19,4,1,1,0,3,2,10,9,19,25,0,0,0,0,41,24,56,41,23,2,0,0,0,0,2,0,2,5,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0"
2024-08-20 15:25:18.425,"0,0,0,1,0,0,31,0,7,0,0,0,0,3,0,6,29,0,3,0,1,0,0,3,9,1,2,1,2,2,0,0,0,7,9,91,99,85,4,0,0,2,0,0,20,53,40,20,51,2,0,0,0,1,43,46,8,1,1,8,0,0,0,12,33,38,3,3,0,0,0,0,1,45,53,13,1,18,0,0,1,0,30,82,26,10,0,11,0,0,1,1,18,50,49,14,0,1,1,0,1,12,4,20,43,19,3,1,1,0,3,2,10,8,19,26,0,0,0,0,42,25,55,41,23,2,0,0,0,0,2,0,2,5,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0"
2024-08-20 15:25:18.509,"0,0,0,1,0,0,31,0,7,0,0,0,0,3,0,6,29,0,3,0,1,0,0,3,9,2,2,1,2,2,0,0,0,7,9,92,99,85,4,0,0,2,0,0,20,53,40,20,51,2,0,0,0,1,43,46,8,2,0,8,0,0,0,12,33,38,3,3,0,0,0,0,1,45,53,13,1,19,0,0,1,0,32,82,26,10,0,11,0,0,1,1,18,50,49,14,0,1,1,0,1,12,4,20,43,19,3,1,1,0,3,2,9,8,19,25,0,0,0,0,42,25,56,41,23,2,0,0,0,0,2,0,2,4,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0"
2024-08-20 15:25:18.812,"0,0,0,1,0,0,31,0,7,0,0,0,0,3,0,6,29,0,3,0,1,0,0,3,9,2,2,1,2,2,0,0,0,7,8,91,99,85,4,0,0,2,0,1,20,53,40,21,51,2,0,0,0,1,43,46,8,1,0,8,0,0,0,12,33,39,3,3,0,0,0,0,1,45,53,13,1,19,0,0,1,0,32,82,26,10,0,12,0,0,1,1,17,49,49,15,0,1,1,0,1,12,5,20,42,19,3,1,1,0,3,2,9,8,19,25,0,0,0,0,42,26,56,41,23,1,0,1,0,0,2,0,2,5,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0"
