timestamp,data
2024-08-20 15:59:41.042,"0,0,0,11,6,4,24,12,10,0,0,0,1,10,14,24,24,13,17,0,3,0,0,0,0,7,5,0,1,0,0,0,0,5,34,24,12,0,0,0,6,0,0,19,58,67,39,22,0,0,1,0,0,1,50,35,38,1,1,0,0,0,0,0,27,35,40,2,3,0,0,0,0,1,24,13,24,2,0,0,1,0,1,17,16,5,35,9,1,0,0,0,0,2,51,56,43,30,1,0,1,0,0,17,38,31,31,37,1,0,0,0,0,1,21,2,5,18,26,0,2,0,0,0,0,0,0,17,0,0,6,0,3,17,0,0,4,37,7,0,0,0,2,57,1,0,5,40,10,0,0,0,0,39,1,0,0,2,10,0"
2024-08-20 15:59:41.123,"0,0,0,11,5,5,25,12,10,0,0,0,1,10,14,24,24,13,17,0,3,0,0,0,0,7,5,0,0,0,0,1,0,5,34,25,12,0,0,0,6,0,0,19,58,67,39,21,0,0,1,0,0,0,50,36,38,1,1,0,0,0,0,0,27,35,40,2,3,0,0,0,0,0,24,13,24,2,0,0,1,0,1,17,16,5,34,9,1,0,1,0,0,2,51,56,43,30,2,0,0,0,0,17,38,31,31,37,1,0,0,0,0,1,22,2,5,18,26,0,2,0,0,0,0,0,0,17,0,0,6,0,3,17,0,0,4,37,7,0,0,0,3,57,1,0,5,41,9,0,0,0,0,39,1,0,0,2,10,0"
2024-08-20 15:59:41.201,"0,0,0,11,5,4,24,11,10,0,0,0,1,10,14,24,25,14,17,0,3,0,0,0,0,8,5,0,0,0,0,1,0,5,35,24,12,0,0,0,6,0,0,19,58,67,39,21,0,0,0,0,0,0,49,35,38,1,1,0,0,0,0,0,27,34,40,2,3,0,0,0,0,1,25,13,24,2,0,0,1,0,1,17,16,5,35,9,1,0,0,0,0,2,51,56,43,30,2,0,0,0,0,18,38,31,31,37,2,0,0,0,0,1,22,2,5,18,26,0,2,0,0,0,0,0,0,17,0,0,6,0,3,17,0,0,4,37,7,0,0,0,3,57,1,0,6,40,10,0,0,1,0,39,1,0,0,2,10,0"
2024-08-20 15:59:41.485,"0,0,0,11,5,4,24,11,10,0,0,0,0,10,15,24,24,13,17,0,3,0,0,0,0,7,5,0,1,0,0,1,0,5,34,25,12,0,0,0,6,0,0,20,58,67,39,21,1,0,1,0,0,0,50,35,38,2,1,0,0,0,0,0,27,34,39,2,3,0,0,0,0,0,25,13,24,2,0,0,1,0,1,16,16,5,34,9,1,0,0,0,0,3,51,56,43,31,1,0,0,0,0,17,38,30,31,37,2,0,0,0,0,1,21,2,5,18,27,0,2,0,0,0,0,0,0,16,0,0,6,0,3,17,0,0,4,37,7,0,0,0,3,57,1,0,6,41,9,0,0,1,0,39,1,0,0,2,10,0"
2024-08-20 15:59:41.495,"0,0,0,10,5,5,24,11,10,0,0,0,1,10,15,24,24,13,17,0,3,0,0,0,0,7,5,0,1,0,0,1,0,5,35,25,12,0,0,0,6,0,0,20,58,67,39,21,0,1,0,0,0,0,50,35,37,1,1,0,0,0,0,0,26,34,40,2,3,0,0,0,0,1,25,13,24,2,0,0,1,0,1,17,16,5,34,9,1,0,0,0,0,2,51,56,43,30,1,0,0,0,0,17,38,31,31,37,2,0,0,0,0,1,22,2,5,18,26,0,2,0,0,0,0,0,0,17,0,0,6,0,2,17,1,0,4,37,7,1,0,0,3,57,1,0,6,40,9,0,0,0,0,40,1,0,0,2,10,0"
2024-08-20 15:59:41.537,"0,0,0,12,5,4,24,11,10,0,0,0,1,10,14,24,24,14,17,0,3,0,0,0,0,7,5,0,1,0,0,1,0,4,35,25,12,0,0,0,6,0,0,21,58,67,39,21,0,1,0,0,0,1,50,35,38,1,1,0,0,0,0,0,26,33,40,2,3,0,0,0,0,1,25,13,24,2,0,0,1,0,0,17,16,5,34,9,1,0,0,0,0,2,51,56,43,30,1,0,0,0,0,17,38,31,31,37,2,1,0,1,0,1,21,2,5,18,26,0,2,0,0,0,0,0,0,17,0,0,6,0,3,17,0,0,4,37,7,0,0,0,3,57,1,0,6,40,9,0,0,1,0,39,1,0,0,1,10,0"
2024-08-20 15:59:41.616,"0,0,0,11,5,4,24,11,10,0,0,0,1,10,14,24,24,13,17,0,3,0,0,0,0,7,4,0,1,0,0,1,0,5,35,25,12,0,0,0,6,0,0,21,58,67,40,21,0,1,1,0,0,0,50,35,37,1,1,0,0,0,0,0,26,33,40,2,3,0,0,0,0,1,25,13,24,2,0,0,1,0,1,17,16,5,34,9,1,0,0,0,0,2,51,56,43,30,1,0,0,0,0,17,38,31,30,37,2,0,0,0,0,1,22,2,5,17,26,0,2,0,0,0,0,0,0,17,0,0,6,0,3,17,0,0,4,37,7,0,0,0,2,57,1,0,5,40,10,0,0,1,0,39,1,0,0,2,10,0"
2024-08-20 15:59:41.643,"0,0,0,11,5,5,24,11,9,0,0,0,1,10,14,24,24,13,17,0,3,0,0,0,0,8,4,0,1,0,0,1,0,5,35,24,11,0,0,0,6,0,0,19,57,68,39,21,0,1,1,0,0,0,50,35,38,1,1,0,0,0,0,0,26,33,39,2,3,0,0,0,0,0,25,13,24,2,0,0,0,0,1,17,16,5,35,9,1,0,0,0,0,3,51,56,43,31,1,0,0,0,0,17,38,31,31,37,2,0,0,0,0,1,22,2,5,18,26,0,2,0,0,0,0,0,0,17,0,0,6,1,3,17,0,0,4,37,7,0,0,0,3,57,1,0,5,40,10,0,0,0,0,39,1,0,0,2,10,0"
2024-08-20 15:59:41.704,"0,0,0,11,5,4,24,11,9,0,0,0,0,10,15,24,24,13,17,0,3,0,0,0,0,7,4,0,1,0,0,1,0,5,36,25,12,0,0,0,6,0,0,19,57,68,40,21,1,1,0,0,0,1,49,35,38,2,1,0,0,0,0,0,26,33,38,2,3,0,0,0,0,0,25,13,24,2,0,0,0,0,1,17,16,5,35,9,0,0,0,0,0,3,51,56,43,31,1,0,0,0,0,17,38,31,31,37,2,0,0,0,0,1,22,2,5,18,27,0,2,0,0,0,0,0,0,17,0,0,6,1,3,17,0,0,4,37,7,0,0,0,3,57,1,0,6,40,9,0,0,0,0,39,1,0,0,2,10,0"
2024-08-20 15:59:41.782,"0,0,0,11,5,4,24,11,9,0,0,0,1,10,14,24,24,13,16,0,3,0,0,0,0,8,4,0,1,0,0,1,0,4,36,25,12,0,0,0,6,0,0,22,57,68,40,21,0,1,1,0,0,0,49,36,38,1,1,0,0,0,0,0,27,33,39,2,3,0,0,0,0,1,25,13,25,2,0,0,1,0,1,17,16,5,34,9,1,0,0,0,0,2,51,56,43,30,1,0,0,0,0,17,38,31,31,37,2,0,0,0,0,1,21,2,5,18,26,0,2,0,0,0,0,0,0,17,0,0,6,0,3,17,0,0,4,38,7,0,0,0,3,57,1,0,6,41,10,0,0,1,0,39,1,0,0,2,10,0"
