data,position
"[1,0,1,1,4,9,40,19,17,15,3,7,11,35,51,45,20,31,13,5,10,10,13,7,4,16,3,1,1,1,32,57,23,15,4,1,1,0,0,0,50,55,68,61,30,16,11,10,11,20,69,83,82,33,36,50,50,45,61,88,37,63,71,51,86,79,85,90,75,39,39,56,66,97,126,110,97,67,75,78,55,74,82,133,105,101,106,41,42,30,37,82,98,67,53,26,21,28,24,15,11,18,46,46,34,8,3,2,1,1,4,12,22,32,17,10,3,2,2,2,8,10,18,22,63,76,75,49,32,22,2,2,2,3,9,32,22,79,30,24,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0]",1
"[0,0,1,1,3,8,39,19,17,15,3,7,11,35,51,45,21,31,13,6,10,11,13,7,4,16,3,1,1,1,30,57,23,16,4,1,0,0,0,1,49,54,67,61,31,17,11,10,11,21,69,82,82,33,36,50,50,46,62,87,38,65,72,52,86,79,85,90,75,41,39,57,66,97,127,111,97,67,75,78,55,75,83,133,105,101,104,40,41,30,37,81,98,67,54,26,20,28,25,15,11,18,46,46,33,8,3,2,1,1,4,12,22,32,16,10,3,2,2,2,7,10,18,22,64,76,77,49,33,22,2,2,2,4,9,32,22,79,31,24,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0]",1
"[1,0,1,1,4,10,43,20,17,15,3,7,11,35,51,45,20,31,13,5,10,10,13,7,4,16,3,1,1,1,30,57,23,16,4,1,1,0,0,0,50,54,67,61,30,17,11,10,11,21,69,83,82,34,36,50,49,46,62,88,38,65,72,52,86,79,85,90,76,43,40,58,66,97,127,111,97,68,76,78,55,75,82,133,105,100,102,39,36,29,37,82,98,67,53,25,20,28,25,15,11,19,46,46,33,8,3,2,1,1,4,12,22,32,17,10,4,2,2,2,7,10,19,23,64,77,76,49,32,22,2,2,2,4,9,32,22,79,31,24,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0]",1
"[0,0,1,1,4,9,43,20,17,15,3,7,11,35,51,45,21,31,13,6,10,11,13,7,4,16,3,1,1,1,30,57,24,16,4,1,0,0,1,1,50,55,67,61,31,16,11,10,11,21,69,83,81,33,36,51,50,46,62,88,38,66,72,52,86,79,85,90,77,44,40,58,66,97,127,111,97,68,75,78,55,74,83,133,105,100,102,39,38,29,37,82,97,66,54,26,20,28,24,15,12,18,46,46,34,8,3,2,1,1,4,12,22,32,17,10,3,2,2,2,7,10,19,22,63,76,77,49,33,22,2,2,2,4,9,32,22,79,31,24,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0]",1
"[1,1,1,1,3,10,41,19,17,15,3,7,11,35,51,45,21,31,13,6,10,11,13,7,4,17,3,1,1,1,30,57,24,16,4,1,0,0,0,1,50,55,68,61,31,16,11,10,11,21,69,82,81,33,36,50,50,46,62,87,38,67,72,52,86,78,85,91,77,44,40,58,66,98,127,111,97,68,75,78,55,74,83,133,105,100,103,39,39,29,37,81,98,67,54,26,20,28,24,16,12,19,46,46,33,8,3,2,1,1,4,12,22,33,16,10,4,2,2,2,7,10,19,23,64,77,76,49,33,22,2,2,2,4,9,32,22,79,30,24,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0]",1
"[1,1,1,1,4,9,40,19,17,17,3,7,11,35,51,45,21,32,13,6,10,10,13,7,4,17,3,1,1,1,30,57,23,16,4,1,0,0,0,0,50,55,68,62,30,16,11,10,11,21,69,83,81,34,36,50,50,46,62,87,38,67,72,52,86,79,85,91,76,44,40,58,67,98,127,111,98,68,76,78,55,74,83,133,105,100,104,40,39,29,37,82,98,67,53,26,20,28,25,15,11,18,46,46,33,8,3,2,1,1,4,12,22,32,17,10,4,2,2,2,8,10,19,23,63,77,76,49,32,22,2,2,2,4,9,32,22,79,30,24,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0]",1
"[0,0,1,1,3,6,23,16,16,19,3,7,12,35,51,46,23,35,14,6,10,10,13,7,4,17,3,1,1,1,30,57,23,16,4,1,1,0,0,0,50,55,68,61,30,16,11,10,11,21,69,83,81,33,36,50,50,46,61,87,38,66,72,52,86,80,87,91,76,44,40,58,66,97,127,112,100,69,76,79,55,74,83,133,105,100,104,40,39,29,37,82,98,67,53,26,20,28,24,15,11,19,46,47,33,8,3,2,1,1,4,12,22,32,17,10,4,2,2,2,7,10,19,23,64,77,77,49,33,22,2,2,2,4,9,32,22,79,30,24,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0]",1
"[0,0,1,1,2,4,13,14,15,20,3,7,11,34,50,46,24,40,16,12,10,11,13,7,4,17,3,2,1,1,30,57,24,16,4,1,0,0,0,1,50,55,68,61,31,16,11,10,11,21,69,83,81,34,36,51,51,46,61,87,38,67,72,52,86,80,87,91,76,43,40,58,66,98,127,112,100,68,76,78,55,74,83,133,105,101,105,40,40,29,37,82,98,67,54,26,21,28,24,15,12,18,46,47,34,8,3,2,1,1,4,12,22,33,17,10,3,2,2,2,8,10,19,22,64,77,79,50,33,22,2,2,2,4,9,33,22,79,31,25,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0]",1
"[0,0,1,1,2,4,14,14,15,20,3,7,11,35,50,45,24,40,16,12,10,11,13,7,4,17,3,1,1,1,31,57,24,16,4,1,0,0,0,1,50,55,68,61,31,17,11,10,11,21,69,84,81,33,36,50,51,46,61,87,38,67,73,52,86,79,87,90,76,43,40,58,66,97,128,112,101,68,76,78,55,74,83,133,105,101,105,40,39,29,37,81,97,66,54,26,21,28,25,15,11,18,46,47,34,8,3,2,1,1,4,12,22,33,17,10,3,2,2,2,8,10,18,22,64,77,78,49,33,22,2,2,2,4,9,33,23,79,31,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0]",1
"[0,0,1,1,3,7,30,17,16,17,3,7,11,35,50,45,23,38,14,6,10,10,13,7,4,17,3,1,1,1,31,57,24,16,4,1,0,1,0,0,50,55,68,61,30,17,11,10,11,22,70,84,82,34,36,50,49,45,61,88,39,67,72,52,86,79,86,90,77,43,40,58,66,98,127,111,98,68,75,79,55,74,83,133,105,101,105,40,41,29,37,79,97,66,54,26,21,28,24,15,12,19,46,47,34,8,3,2,1,1,4,12,22,32,16,10,4,2,2,2,7,10,19,23,64,77,77,49,32,22,2,2,2,4,9,32,22,78,30,25,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,1]",1
