data,position
"[0,0,0,1,4,17,45,49,17,5,4,12,25,68,51,14,6,8,2,1,27,20,30,17,7,3,1,1,0,0,25,27,6,1,0,0,0,0,0,0,81,69,61,30,9,4,2,2,2,2,56,99,113,48,31,8,5,3,3,3,37,37,44,68,73,80,70,90,68,51,25,39,58,81,112,84,87,57,115,90,37,54,100,109,84,87,39,24,22,36,42,67,58,63,85,67,84,73,52,57,61,72,51,44,47,63,100,74,63,71,62,86,61,41,30,34,14,11,16,37,89,69,28,14,8,2,2,1,1,2,15,25,19,27,8,2,1,0,0,1,9,12,7,4,6,26,19,5,2,1,2,1,1,2,4,9,10,32,14,5]",1
"[0,0,1,2,4,17,44,48,17,5,4,12,25,68,51,14,6,8,2,1,27,20,30,17,7,3,1,0,0,0,25,27,6,2,1,0,0,0,0,0,81,69,61,31,9,4,2,2,2,2,56,99,113,48,32,8,5,3,3,3,37,36,44,68,73,81,70,90,67,51,26,39,58,81,112,84,87,56,115,90,37,54,100,109,84,87,40,25,22,36,41,66,59,64,85,67,84,73,52,57,61,72,51,44,47,62,100,74,64,72,62,85,60,40,30,34,14,11,16,36,89,68,28,13,8,3,2,1,1,2,15,25,19,27,9,3,1,1,0,1,8,11,6,5,7,25,19,5,2,1,2,1,1,2,4,9,10,32,15,5]",1
"[0,1,0,1,4,17,45,49,17,5,4,12,25,68,51,14,6,7,2,1,27,20,30,17,7,3,1,0,0,0,24,26,6,2,1,0,0,0,0,0,80,69,61,30,9,4,3,2,1,1,56,99,112,47,32,8,5,3,2,3,38,36,43,67,72,81,70,90,67,51,26,40,58,81,112,84,87,56,115,90,37,54,100,109,84,87,40,25,22,36,42,66,58,63,86,67,84,73,51,57,61,72,52,44,47,63,100,74,63,71,62,86,61,41,30,34,14,11,16,36,89,69,28,13,8,2,2,1,1,2,15,25,18,27,8,2,1,1,0,1,9,12,6,4,6,26,19,5,2,1,2,1,1,2,4,9,10,33,15,5]",1
"[0,0,1,1,4,17,44,49,17,5,4,12,25,68,51,14,6,8,2,1,27,20,30,17,7,3,1,0,0,0,25,27,6,1,0,0,0,0,0,0,81,69,61,30,9,4,2,2,2,2,57,99,113,47,32,8,5,3,3,3,37,37,44,68,73,80,70,90,67,51,25,39,58,82,112,84,87,56,115,90,37,54,100,109,84,88,39,24,22,36,42,67,59,63,85,67,85,73,52,57,61,72,51,44,47,63,100,74,63,71,63,86,61,41,30,34,14,11,16,36,89,69,28,14,8,2,2,1,1,2,15,25,18,27,8,2,1,0,0,1,9,12,6,4,6,26,19,5,2,1,2,1,1,2,4,9,10,33,14,5]",1
"[0,0,0,2,4,17,44,48,17,5,4,12,25,68,51,14,6,7,2,1,27,20,30,17,7,3,1,0,0,0,24,27,6,2,1,0,0,0,0,0,81,69,61,30,9,4,2,2,1,2,56,99,112,47,32,8,5,3,2,3,37,36,43,67,73,81,70,90,67,51,26,39,58,81,112,84,87,56,115,90,37,54,100,109,84,87,40,25,22,36,41,66,58,64,85,68,84,73,52,56,61,73,52,44,47,62,100,74,63,72,62,86,60,41,30,34,14,11,16,36,89,68,28,13,8,2,2,1,1,2,15,25,18,27,9,3,1,1,0,1,8,11,6,5,7,26,19,5,1,1,2,1,1,2,4,9,10,32,14,5]",1
"[0,0,0,1,5,18,45,49,16,5,4,12,25,68,51,14,6,7,2,1,27,20,30,17,7,3,1,1,0,0,24,26,6,2,1,0,0,0,0,0,80,70,61,30,9,4,2,2,1,2,56,99,113,47,31,8,5,3,2,3,37,36,43,68,73,81,70,90,68,51,26,39,58,81,112,84,87,56,115,90,37,54,100,109,84,87,39,25,22,36,42,67,58,63,85,68,84,73,52,56,61,72,51,44,47,63,100,74,63,71,62,86,60,41,30,34,14,11,16,36,89,68,28,14,8,2,2,1,1,2,15,25,18,27,8,2,1,0,0,1,9,12,6,4,6,26,19,5,2,1,2,1,1,2,4,9,11,32,15,5]",1
"[0,0,0,1,4,18,44,48,16,5,4,12,25,69,51,14,6,7,2,1,27,20,30,17,7,3,1,0,0,0,24,26,6,2,1,0,0,0,0,0,80,69,61,30,9,4,3,2,1,1,57,100,113,47,31,8,5,3,3,3,38,37,44,68,72,80,70,90,68,51,25,39,59,82,112,84,87,56,115,91,37,54,100,109,84,88,40,25,22,36,42,66,59,64,86,68,84,73,52,56,62,72,51,44,47,63,100,74,64,71,62,85,60,40,30,34,14,11,16,37,89,68,28,14,8,3,2,1,1,2,15,25,19,27,9,3,1,0,0,1,8,11,6,5,7,25,19,5,2,1,2,1,1,2,4,9,10,32,15,5]",1
"[0,0,0,1,5,17,45,49,16,5,4,12,25,68,51,14,6,7,2,1,27,20,30,17,7,3,1,1,0,0,24,26,6,2,1,0,0,0,0,0,80,69,61,30,9,4,2,2,1,1,57,99,112,47,31,8,5,4,2,2,38,36,43,67,72,81,70,90,68,51,26,40,59,81,112,84,88,56,115,92,37,54,100,109,84,87,40,25,22,36,42,67,58,64,85,68,84,73,52,56,61,72,51,44,48,63,100,75,63,71,62,86,60,41,30,34,14,11,16,36,89,68,28,14,8,2,2,1,1,2,15,25,19,27,8,2,1,0,0,1,9,12,6,4,6,26,19,5,2,1,2,1,1,2,4,9,10,33,15,5]",1
"[0,0,0,2,4,17,45,49,17,5,4,12,25,68,51,14,6,7,2,1,27,20,30,17,7,3,1,1,0,0,25,27,6,1,0,0,0,0,0,0,81,69,61,30,9,4,3,2,2,1,57,100,113,48,29,8,5,3,3,3,38,37,44,67,72,80,70,90,68,52,25,39,59,82,112,84,87,56,115,91,37,54,100,109,84,87,39,24,22,36,42,67,59,64,85,68,84,73,52,57,61,72,51,44,47,63,100,75,63,71,62,85,61,40,30,34,14,11,16,36,89,69,28,14,8,3,2,1,1,2,15,25,18,27,9,2,1,0,0,1,8,12,6,5,6,26,19,5,2,1,2,1,1,2,4,9,10,32,15,5]",1
"[0,0,0,1,4,17,45,48,16,5,4,12,25,69,51,14,6,7,2,1,27,21,30,17,7,3,1,0,0,0,24,26,6,2,1,0,0,0,0,0,80,69,61,31,9,4,2,2,1,2,56,99,112,47,29,8,5,3,2,3,38,36,43,67,72,80,70,90,68,52,26,40,58,81,112,84,87,56,115,91,37,54,100,109,84,87,40,25,22,36,42,67,58,64,86,68,84,73,51,56,62,72,52,44,48,63,100,75,63,70,63,86,60,41,30,34,14,11,17,37,89,69,28,13,8,2,2,1,1,2,15,25,18,27,8,3,1,1,0,1,9,12,6,4,7,26,19,5,1,1,2,1,1,2,4,9,10,33,14,5]",1
