data,position
"[0,0,0,0,3,14,0,0,0,0,0,0,0,2,2,5,19,1,0,0,0,2,37,57,61,26,2,0,0,0,0,27,63,11,28,21,0,0,0,0,0,1,1,10,22,17,0,0,0,0,1,0,1,18,21,5,0,0,0,0,0,0,3,25,20,6,0,0,0,0,0,0,1,16,47,66,1,0,0,0,1,1,2,33,73,42,1,0,0,0,0,1,4,33,21,5,0,0,0,0,0,5,10,38,15,2,0,0,0,0,0,0,2,32,6,1,0,0,0,0,0,0,1,9,34,7,0,0,0,0,0,0,0,0,5,33,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1,2,1,2,0]",3
"[0,0,0,0,3,14,1,0,0,0,0,0,0,2,2,5,19,1,0,0,0,2,37,56,61,26,2,0,0,0,0,27,64,11,28,21,1,0,0,0,0,1,0,10,22,17,0,0,0,0,1,0,1,18,22,5,0,0,0,0,0,0,2,26,19,6,0,0,0,0,0,0,1,16,47,65,1,0,0,0,1,0,2,32,73,42,1,0,0,0,0,0,4,33,22,5,0,0,0,0,0,5,10,38,16,1,0,0,0,0,0,0,2,31,7,1,0,0,0,0,0,0,0,9,34,7,0,0,0,0,0,0,0,1,4,33,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,1,0,0,0,1,2,1,2,0]",3
"[0,0,0,0,4,13,1,0,0,0,0,0,0,2,2,5,19,1,0,0,0,2,38,56,61,25,3,0,0,0,0,27,64,11,28,22,0,0,0,0,0,1,1,10,22,17,0,0,0,0,1,0,1,18,21,5,0,0,0,0,0,0,3,26,19,7,0,0,0,0,0,0,1,16,47,65,1,0,0,0,1,0,2,32,73,42,1,0,0,0,0,0,4,34,21,5,0,0,0,0,0,5,10,38,15,2,0,0,0,0,0,0,2,32,7,1,0,0,0,0,0,0,0,9,34,7,0,0,0,0,0,0,0,0,5,33,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,1,0,1,1,2,1,2,0]",3
"[0,0,0,0,3,14,0,0,0,0,0,0,0,2,2,5,19,1,0,0,0,2,37,57,60,26,2,0,0,0,0,27,64,11,28,22,0,0,0,0,0,1,1,11,22,17,0,0,0,0,1,0,1,18,21,4,0,0,0,0,0,0,3,25,19,7,0,0,0,0,0,0,1,16,47,65,1,0,0,0,1,1,2,32,73,42,0,0,0,0,0,0,4,33,21,5,0,0,0,0,0,5,10,38,15,2,0,0,0,0,0,0,2,31,7,1,0,0,0,0,0,0,0,9,34,7,0,0,0,0,0,0,0,1,4,33,1,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,1,2,1,2,0]",3
"[0,0,0,0,4,13,0,0,0,0,0,0,0,2,2,5,18,1,0,0,0,2,38,56,61,26,2,0,0,0,0,26,64,11,28,21,0,0,0,0,0,1,0,10,22,16,0,0,0,0,1,0,1,18,21,4,0,0,0,0,0,0,2,25,19,6,0,0,0,0,0,0,1,16,47,66,1,0,0,0,1,1,2,32,73,42,1,0,0,0,0,0,4,33,22,5,0,0,0,0,0,4,10,38,15,2,0,0,0,0,0,0,2,32,6,1,0,0,0,0,0,0,0,9,34,7,0,0,0,0,0,0,0,1,4,33,1,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,1,2,1,2,0]",3
"[0,0,0,0,3,10,0,0,0,0,0,0,0,2,2,5,17,1,0,0,0,2,37,57,61,27,2,0,0,0,0,27,64,11,28,20,1,0,0,0,0,1,1,10,22,11,0,0,0,0,1,0,1,17,21,3,0,0,0,0,0,0,2,24,18,6,0,0,0,0,0,0,1,16,46,66,1,0,0,0,1,0,2,33,74,41,1,0,0,0,0,0,4,33,22,5,0,0,0,0,0,0,10,38,15,1,0,0,0,0,0,0,2,31,7,1,0,0,0,0,0,0,0,9,34,7,0,0,0,0,0,0,0,1,5,34,1,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,1,2,1,2,0]",3
"[0,0,0,0,3,5,0,0,0,0,0,0,0,2,2,5,17,1,0,0,0,1,37,57,61,27,2,0,0,0,0,24,63,11,28,18,1,0,0,0,0,1,1,10,20,8,0,0,0,0,1,0,1,17,21,3,0,0,0,0,0,0,2,25,18,6,0,0,0,0,0,0,1,16,47,67,2,0,0,0,1,0,2,33,74,41,1,0,0,0,0,0,4,34,21,4,0,0,0,0,0,0,10,38,14,2,0,0,0,0,0,0,2,31,7,1,0,0,0,0,0,0,0,9,35,7,0,0,0,0,0,0,0,1,4,35,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,0,1,0,1,2,1,2,0]",3
"[0,0,0,0,2,3,0,0,0,0,0,0,0,1,2,5,17,1,0,0,0,1,38,57,61,27,2,0,0,0,0,26,62,10,26,15,1,0,0,0,0,1,0,11,20,3,0,0,0,0,0,0,0,18,21,2,0,0,0,0,0,0,3,25,18,5,0,0,0,0,0,0,1,17,46,67,1,0,0,0,1,0,2,33,75,41,1,0,0,0,0,0,4,34,21,3,0,0,0,0,0,0,10,38,14,2,0,0,0,0,0,0,2,30,7,1,0,0,0,0,0,0,0,9,35,7,0,0,0,0,0,0,0,0,5,35,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,1,2,1,2,0]",3
"[0,0,0,0,2,3,0,0,0,0,0,0,0,2,2,5,12,1,0,0,0,2,39,58,61,23,2,0,0,0,0,26,61,10,24,9,0,0,0,0,0,1,1,17,18,2,0,0,0,0,0,0,0,18,22,2,0,0,0,0,0,0,2,25,19,5,0,0,0,0,0,0,1,17,47,65,1,0,0,0,1,0,2,34,76,42,1,0,0,0,0,0,4,33,21,3,0,0,0,0,0,0,10,37,14,1,0,0,0,0,0,0,2,30,7,1,0,0,0,0,0,0,0,9,35,7,0,0,0,0,0,0,0,1,5,36,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,0,0,0,1,2,1,2,0]",3
"[0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,5,5,1,0,0,0,2,42,58,61,20,2,0,0,0,0,27,60,9,23,8,0,0,0,0,0,2,1,21,18,1,0,0,0,0,0,0,1,18,21,2,0,0,0,0,0,0,3,25,19,4,0,0,0,0,0,0,1,18,46,64,1,0,0,0,1,0,2,34,76,41,1,0,0,0,0,0,4,33,21,2,0,0,0,0,0,0,9,37,14,1,0,0,0,0,0,0,2,30,7,1,0,0,0,0,0,0,0,9,35,7,0,0,0,0,0,0,0,0,5,37,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,1,0,0,1,2,1,2,0]",3
