data,position
"[1,0,14,6,5,21,8,2,0,0,0,0,8,42,37,64,22,0,0,0,0,0,1,11,7,51,41,0,0,0,0,0,0,1,11,55,18,0,0,0,0,0,0,2,48,34,44,1,0,0,0,0,0,2,52,52,52,1,0,0,0,0,0,2,49,87,118,2,0,0,0,0,0,6,66,87,95,3,0,0,0,0,1,60,89,41,10,2,0,0,0,0,1,96,50,4,2,2,0,0,0,0,0,54,61,32,6,1,0,0,0,0,0,2,5,13,18,52,2,1,0,0,0,0,0,0,0,12,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0]",3
"[1,0,19,7,5,21,8,2,1,0,0,0,8,43,38,64,22,0,0,0,0,0,1,12,7,51,48,1,0,0,0,0,0,0,12,55,25,0,0,0,0,0,0,6,47,35,45,1,0,0,0,0,1,2,52,53,52,1,0,0,0,0,0,2,49,86,114,2,0,0,0,0,0,6,66,86,91,3,0,0,0,0,1,60,89,42,9,2,0,0,0,0,1,96,50,3,2,2,0,0,0,0,0,54,61,33,6,1,0,0,0,0,0,2,5,13,18,53,2,1,0,0,0,0,0,0,0,13,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0]",3
"[1,0,19,7,5,21,7,3,0,0,0,0,8,42,38,64,23,0,0,0,0,0,1,11,6,51,50,0,0,0,0,0,0,0,11,55,25,1,0,0,0,0,1,2,48,35,47,1,0,0,0,0,1,2,52,53,52,1,0,0,0,0,0,2,46,87,111,2,0,0,0,0,0,6,65,87,91,3,0,0,0,0,1,61,89,41,10,2,0,0,0,0,1,96,51,4,2,2,0,0,0,0,0,54,62,33,5,1,0,0,0,0,0,2,5,13,19,60,2,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0]",3
"[1,0,11,7,5,21,7,2,0,0,0,0,9,40,39,63,23,0,1,0,0,0,1,11,7,51,55,0,0,0,0,0,0,1,10,55,27,1,0,0,0,0,1,7,47,34,47,1,0,0,0,0,0,3,53,53,54,1,0,0,0,0,0,2,45,87,110,2,0,0,0,0,0,5,65,86,89,3,0,0,0,0,1,60,89,41,10,1,0,0,0,0,1,94,51,4,2,2,0,0,0,0,0,53,62,33,5,1,0,0,0,0,0,2,5,13,20,66,2,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0]",3
"[1,0,18,5,5,20,7,3,0,0,0,0,9,40,39,67,21,0,0,0,0,0,1,10,6,51,60,1,0,0,0,0,0,1,9,55,35,0,0,0,0,0,1,7,47,33,47,1,0,0,0,0,0,3,53,53,53,1,0,0,0,0,0,2,45,86,107,2,0,0,0,0,0,6,65,86,87,3,0,0,0,0,1,60,89,42,9,1,0,0,0,0,1,94,51,4,2,2,0,0,0,0,0,53,62,33,5,1,0,0,0,0,0,2,5,13,19,66,2,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0]",3
"[1,0,10,5,4,21,7,3,0,0,0,0,8,34,39,67,23,0,0,0,0,0,1,10,6,51,63,1,0,0,0,0,0,1,8,55,37,0,0,0,0,0,1,7,48,32,49,0,0,0,0,0,0,3,52,53,53,0,0,0,0,0,0,2,46,85,105,1,0,0,0,0,0,5,66,86,86,1,0,0,0,0,1,61,89,42,9,1,0,0,0,0,1,97,51,4,2,1,0,0,0,0,0,53,62,33,5,1,0,0,0,0,0,2,5,13,19,68,2,1,0,0,0,0,0,0,1,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0]",3
"[1,0,10,4,4,21,7,3,0,0,0,0,8,37,39,66,23,0,0,0,0,0,1,10,6,51,64,1,0,0,0,0,0,1,8,54,41,0,0,0,0,0,1,7,48,32,49,0,0,0,0,0,0,3,52,54,52,1,0,0,0,0,0,2,44,86,104,1,0,0,0,0,0,6,66,86,86,1,0,0,0,0,1,61,90,41,9,1,0,0,0,0,0,97,52,5,2,2,0,0,0,0,0,55,63,32,5,1,0,0,0,0,0,2,5,13,19,67,2,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0]",3
"[1,0,15,4,3,21,7,3,1,0,0,0,8,39,39,66,23,0,1,0,0,0,1,10,5,51,63,1,0,0,0,0,1,1,9,54,46,0,0,0,0,0,1,7,48,34,49,1,0,0,0,0,0,3,51,54,52,0,0,0,0,0,0,2,43,86,104,1,0,0,0,0,0,6,67,86,85,1,0,0,0,0,1,61,91,42,9,1,0,0,0,0,0,97,52,5,2,2,0,0,0,0,0,53,63,33,5,1,0,0,0,0,0,2,5,13,19,67,3,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0]",3
"[1,0,23,4,3,21,7,3,1,0,0,0,8,35,39,63,23,0,1,0,0,0,1,10,5,51,63,1,0,0,0,0,0,1,8,54,47,1,0,0,0,0,1,6,48,35,47,1,0,0,0,0,0,3,51,54,52,0,0,0,0,0,0,2,42,86,104,1,0,0,0,0,0,6,68,86,85,1,0,0,0,0,1,61,91,42,9,1,0,0,0,0,0,97,53,4,2,1,0,0,0,0,0,54,63,33,5,1,0,0,0,0,0,2,5,13,19,69,2,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0]",3
"[1,0,22,4,3,21,7,3,1,0,0,0,9,35,40,63,24,0,1,0,0,0,1,11,5,51,61,0,0,0,0,0,0,1,8,54,50,0,0,0,0,0,0,5,48,35,48,0,0,0,0,0,0,3,51,54,51,0,0,0,0,0,0,2,42,86,104,1,0,0,0,0,0,6,67,87,85,1,0,0,0,0,1,61,91,42,9,1,0,0,0,0,1,97,53,4,2,1,0,0,0,0,0,54,63,33,5,1,0,0,0,0,0,2,6,13,19,69,2,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0]",3
"[1,0,19,4,3,20,7,3,1,0,0,0,9,40,40,63,24,0,0,0,0,0,1,13,5,51,60,1,0,0,0,0,1,1,8,53,53,1,0,0,0,0,0,5,48,33,48,0,0,0,0,0,0,3,50,54,52,0,0,0,0,0,0,2,42,87,102,1,0,0,0,0,0,6,67,87,84,1,0,0,0,0,1,61,91,42,11,1,0,0,0,0,1,96,53,5,2,1,0,0,0,0,0,52,63,33,5,2,0,0,0,0,0,2,5,13,19,74,2,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0]",3
