timestamp,data
2024-08-30 17:21:38.407,"0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,4,1,1,0,0,1,2,3,0,1,2,1,0,0,0,2,1,3,1,0,1,2,0,0,0,7,0,1,1,1,1,9,1,2,3,1,7,1,2,0,0,0,0,0,0,1,4,5,2,0,1,5,5,0,2,1,2,1,1,3,3,5,5,6,6,0,1,1,1,37,37,28,26,21,6,6,4,0,1,44,38,41,54,25,5,1,1,2,1,46,12,33,51,58,30,5,4,3,3,38,34,34,42,38,30,9,4,3,5,15,42,31,31,8,3,5,1,1,1,7,9,8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0"
2024-08-30 17:21:38.499,"0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,3,1,1,0,0,1,2,3,0,1,1,0,1,1,0,2,1,3,0,0,1,2,0,0,0,7,0,1,1,1,1,8,1,2,3,1,7,1,1,0,0,0,0,0,0,0,4,5,1,0,1,4,5,0,2,1,3,1,1,2,3,5,4,6,6,0,1,1,1,37,38,28,26,21,6,6,4,0,1,43,38,40,54,25,5,1,1,2,1,46,12,33,51,58,30,5,4,3,2,38,35,34,42,38,30,9,4,3,4,15,42,31,30,8,3,5,1,0,1,8,9,8,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0"
2024-08-30 17:21:38.589,"0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,3,1,1,0,0,1,2,3,0,1,1,1,1,1,0,2,1,3,0,0,1,2,0,1,0,7,0,1,0,1,1,9,1,2,3,1,7,1,2,0,0,0,0,0,0,1,4,5,1,0,1,4,5,0,2,1,3,1,1,3,3,5,5,6,5,0,1,1,1,37,37,28,26,21,6,6,4,1,0,44,38,41,54,25,5,1,1,1,1,46,12,33,51,58,30,5,4,3,3,38,34,34,42,39,30,9,4,3,5,15,42,31,30,8,3,5,1,1,1,7,10,9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0"
2024-08-30 17:21:38.745,"0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,3,1,1,0,0,1,2,3,0,1,1,0,1,1,0,2,1,3,0,0,0,1,0,1,0,7,0,1,0,1,1,9,1,2,3,1,7,1,1,0,0,0,0,0,0,1,4,5,2,0,0,4,5,0,2,1,2,1,1,3,3,5,4,6,6,0,1,1,0,37,37,28,27,21,6,6,4,0,1,44,38,41,54,25,5,1,1,1,1,46,12,33,51,58,30,5,4,3,3,38,35,34,42,39,31,9,4,3,5,16,42,32,30,8,3,5,1,1,1,7,9,9,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0"
2024-08-30 17:21:38.754,"0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,3,1,1,0,0,1,2,4,0,1,1,1,1,1,0,2,1,3,0,1,1,2,0,1,0,7,1,1,0,1,1,9,1,2,3,1,7,1,1,0,0,0,0,0,0,1,4,5,2,0,1,5,5,0,2,1,3,1,1,2,3,5,4,6,6,0,1,1,1,37,38,28,26,21,6,5,4,1,1,44,38,41,54,26,5,1,1,2,1,46,12,33,51,59,30,6,4,3,3,38,34,34,42,38,31,9,4,3,4,15,42,31,31,8,3,5,1,1,1,7,9,9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0"
2024-08-30 17:21:38.826,"0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,1,0,0,1,2,3,0,1,2,0,1,0,1,2,1,3,0,0,1,2,0,1,0,7,0,1,1,1,1,9,0,3,3,1,7,1,2,0,0,0,0,0,0,0,4,6,1,0,1,4,5,0,2,1,3,1,1,2,3,5,4,6,5,0,1,1,1,37,37,28,27,21,6,6,4,0,1,44,38,41,54,25,5,2,1,1,1,46,12,33,51,59,30,6,4,3,3,38,34,34,41,39,30,9,4,3,5,15,43,31,30,9,3,4,1,0,1,7,9,9,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0"
2024-08-30 17:21:38.904,"0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,3,1,1,0,0,1,2,3,0,1,1,1,0,0,0,2,1,3,0,0,1,2,0,0,0,7,0,1,1,1,1,9,1,2,3,1,7,1,1,0,0,0,0,0,0,1,4,5,1,0,0,4,5,0,2,1,3,1,1,2,3,5,4,6,6,0,1,1,1,37,38,28,26,21,6,6,4,0,1,44,38,41,55,25,5,1,1,2,1,46,12,33,51,59,30,5,5,3,3,37,34,34,42,39,31,9,4,3,5,15,42,31,30,8,3,5,1,1,0,6,9,9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0"
2024-08-30 17:21:39.001,"0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,3,1,1,0,0,1,2,3,0,1,1,1,1,1,0,2,1,3,0,0,0,1,0,1,0,7,0,1,0,1,1,8,1,2,3,1,7,1,1,0,0,0,0,0,0,1,4,5,1,0,1,4,5,1,2,1,2,1,1,2,3,5,4,6,6,0,1,1,1,37,38,28,26,21,6,6,4,0,1,45,38,41,54,25,5,1,1,2,1,46,12,33,51,59,30,6,5,3,3,37,34,34,41,39,30,9,4,3,5,15,42,31,31,8,3,4,1,1,1,6,9,9,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0"
2024-08-30 17:21:39.102,"0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,3,1,1,0,0,1,2,3,0,1,1,1,1,0,0,2,1,3,0,1,1,2,0,0,1,7,0,1,1,1,1,9,0,2,3,1,7,1,2,0,0,0,0,0,0,1,4,5,1,0,1,4,5,0,2,1,3,1,1,2,3,5,4,6,5,0,1,1,1,37,37,28,26,22,6,6,4,1,1,45,38,41,55,25,5,1,2,2,1,46,12,33,51,59,30,5,5,3,3,37,34,34,41,39,30,9,4,3,5,15,42,31,30,8,3,4,1,1,1,7,9,9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0"
2024-08-30 17:21:39.316,"0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,3,1,1,0,0,1,2,3,0,1,1,1,1,1,0,2,1,2,0,0,1,2,0,0,0,8,0,1,1,1,1,9,0,2,3,1,7,1,2,0,0,0,0,0,0,0,4,5,1,0,1,4,5,0,2,1,3,1,1,2,3,5,4,6,6,0,1,1,1,37,37,28,27,22,6,6,4,0,1,44,38,41,55,25,5,2,2,1,1,46,12,33,51,59,30,6,5,3,3,37,34,34,41,39,30,9,4,3,4,15,42,32,30,8,3,4,1,0,1,6,9,9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0"
