timestamp,data
2024-09-02 16:44:27.190,"2,8,16,14,14,7,21,12,7,2,1,4,15,31,39,15,8,12,7,2,6,55,42,20,3,10,7,3,5,3,64,59,51,43,3,0,3,1,5,8,41,5,39,66,25,9,6,4,5,17,2,5,72,56,9,3,2,2,5,2,1,9,43,37,7,6,3,5,6,20,1,18,68,72,38,9,2,3,6,8,6,64,93,76,101,16,1,4,4,2,27,58,59,67,17,2,0,3,10,4,51,64,16,6,6,2,2,2,6,4,88,13,0,1,2,2,0,0,2,2,120,40,1,1,3,3,1,1,5,3,25,46,1,1,7,1,2,2,8,35,3,25,0,0,1,0,0,0,0,0,5,10,1,0,10,5,3,1,3,29"
2024-09-02 16:44:27.451,"2,8,16,15,14,7,20,12,7,3,0,4,15,31,39,15,8,11,7,2,6,54,42,19,3,10,7,3,5,3,63,59,51,43,3,0,3,1,5,8,41,5,39,65,23,9,7,4,5,16,1,5,72,57,9,3,2,2,5,2,1,9,44,38,7,6,3,4,5,20,2,18,68,72,39,9,3,3,6,8,6,64,93,76,101,16,1,4,5,2,27,58,59,67,17,2,1,4,10,5,52,64,16,6,6,2,1,2,6,5,88,13,0,1,2,2,0,0,2,1,121,39,1,1,3,4,1,1,4,3,25,46,1,0,7,1,2,2,8,35,3,25,0,0,0,0,0,0,0,0,4,10,1,0,10,5,3,1,3,29"
2024-09-02 16:44:27.452,"1,8,16,15,14,7,20,12,7,2,1,4,15,32,39,15,8,10,7,2,6,53,42,20,3,10,7,3,5,3,63,59,51,42,3,1,3,1,4,8,41,5,38,66,23,8,6,4,5,16,2,5,72,57,9,4,2,2,5,2,1,9,44,38,7,6,3,5,6,21,2,18,69,71,39,9,3,3,6,8,7,64,93,76,102,16,1,3,4,2,27,58,59,67,17,2,1,3,10,5,52,65,16,6,5,2,1,2,6,4,88,13,0,1,1,2,1,0,2,1,121,40,1,1,2,4,1,1,5,2,25,46,1,0,7,1,2,2,8,35,3,25,1,0,0,0,0,0,0,0,5,10,1,0,11,5,3,1,3,29"
2024-09-02 16:44:27.452,"2,8,16,15,14,7,20,12,7,2,1,4,15,32,39,15,8,11,7,2,6,52,42,20,3,10,7,3,5,3,63,59,51,42,3,0,3,1,5,7,42,5,38,66,23,8,6,4,5,16,2,5,72,57,9,4,2,2,5,2,1,8,44,38,7,6,3,5,6,21,1,18,69,71,39,9,3,3,6,7,6,64,93,76,102,15,1,4,4,2,26,58,59,67,17,2,1,4,10,5,52,65,17,6,5,2,2,2,6,5,88,13,0,1,1,2,1,0,2,1,121,40,1,1,2,4,1,1,5,3,25,46,1,0,7,1,2,3,8,35,3,26,0,0,0,0,0,0,0,0,4,10,1,0,10,5,3,1,3,29"
2024-09-02 16:44:27.512,"2,8,16,15,14,7,21,12,7,2,1,4,14,32,39,15,8,11,7,2,6,54,42,20,3,10,7,3,5,3,64,59,51,42,3,0,3,1,5,8,42,5,38,66,24,8,6,4,5,17,2,4,73,57,9,4,2,2,5,2,1,8,44,38,7,5,3,5,6,21,2,17,68,72,39,9,2,3,6,8,6,64,93,76,102,16,1,4,4,2,26,57,59,67,17,2,1,4,10,5,51,65,17,6,5,2,1,2,6,4,88,13,0,1,2,2,0,0,2,2,120,40,1,1,2,4,1,1,5,3,25,46,1,0,7,1,2,2,8,35,3,26,0,0,0,0,0,0,0,0,4,10,1,0,10,5,3,1,2,29"
2024-09-02 16:44:27.602,"1,8,16,15,14,7,20,12,7,2,1,4,15,32,39,15,8,12,7,1,6,53,41,20,3,10,7,2,5,3,64,59,51,41,3,1,3,1,5,8,43,6,38,66,24,8,7,4,5,16,2,5,72,57,9,4,2,2,5,2,1,9,44,37,7,6,3,5,6,21,2,18,69,71,39,9,2,3,6,8,6,64,93,76,102,17,1,4,4,2,26,57,59,66,18,2,1,3,10,4,51,65,17,6,5,2,1,2,5,4,88,13,1,1,1,3,0,0,2,1,120,40,1,1,2,4,1,1,5,3,25,46,1,0,7,1,2,2,8,35,3,26,0,0,0,0,0,0,0,0,4,11,1,0,10,5,3,1,2,29"
2024-09-02 16:44:27.700,"1,8,16,15,14,7,21,12,7,2,1,4,15,32,39,15,8,12,7,2,6,53,41,20,3,10,7,3,5,3,64,59,51,42,3,1,3,1,5,8,43,6,38,66,24,8,7,4,5,16,1,5,72,57,7,3,2,2,5,2,1,9,44,38,7,6,2,5,5,21,2,18,68,71,39,9,2,3,6,8,6,64,93,76,103,17,1,4,4,2,26,57,59,67,18,2,0,3,10,4,51,64,17,6,5,2,1,2,5,4,88,13,0,1,1,2,1,0,2,2,120,40,0,1,2,3,1,1,5,3,25,46,1,0,7,1,2,2,8,35,3,26,0,0,1,0,0,0,0,0,5,11,2,0,10,5,3,1,2,29"
2024-09-02 16:44:27.770,"2,8,17,15,15,7,20,12,7,2,1,4,14,32,39,15,8,11,7,2,6,53,41,20,3,10,7,3,5,3,64,59,51,41,3,1,3,1,5,8,43,6,39,66,24,8,7,4,5,16,1,5,72,57,9,4,2,2,5,2,2,8,44,38,7,6,3,5,6,21,2,18,69,71,39,9,3,3,6,8,6,64,93,77,103,16,1,4,4,2,26,57,59,67,18,2,1,4,10,5,51,64,17,6,5,2,1,2,6,4,88,13,0,1,1,2,0,0,2,1,121,40,1,1,2,4,1,1,5,3,25,46,1,0,7,1,2,2,8,35,3,26,0,0,1,0,0,0,0,0,5,11,1,0,10,5,3,1,2,29"
2024-09-02 16:44:27.886,"2,8,16,15,14,7,20,12,7,2,1,4,14,32,39,15,8,12,7,1,6,53,42,20,3,9,7,3,5,3,64,59,51,42,2,0,3,1,5,8,42,6,38,65,24,8,7,4,5,16,2,5,73,57,9,3,2,2,5,2,1,9,44,38,7,6,3,5,6,21,2,18,68,71,39,10,3,3,6,8,6,64,93,77,103,17,1,4,4,2,26,57,59,66,18,2,1,3,10,5,51,64,16,6,5,2,1,2,5,5,88,13,1,1,1,2,0,0,2,2,120,40,1,1,2,3,1,1,5,2,25,46,1,0,7,2,2,2,8,35,3,26,0,0,0,0,0,0,0,0,5,11,1,0,10,5,3,1,2,29"
2024-09-02 16:44:27.937,"2,8,16,15,14,7,21,12,7,2,1,4,15,32,39,15,8,12,7,2,6,53,41,20,3,10,7,3,5,3,64,59,51,42,3,0,3,1,5,8,42,6,38,65,24,8,7,4,5,17,2,5,73,57,9,3,3,2,5,2,1,8,44,37,7,6,3,5,6,21,1,18,69,71,39,9,3,3,6,8,6,64,93,77,103,17,1,4,4,2,26,57,59,67,17,3,1,4,10,5,51,64,17,5,5,2,2,2,6,4,88,13,0,1,2,2,0,0,2,2,120,40,1,1,2,3,1,1,5,3,25,46,1,0,7,1,2,2,8,35,3,26,1,0,1,0,0,0,0,0,5,11,1,0,10,5,3,1,3,29"
