timestamp,data
2024-08-30 18:15:10.402,"2,8,23,16,22,27,7,3,0,0,0,4,17,23,22,31,22,9,1,2,2,11,3,11,7,28,34,27,2,1,6,5,2,5,5,23,29,26,12,1,2,2,0,0,7,22,27,7,2,1,0,1,0,0,4,26,33,18,1,1,2,2,2,9,3,21,34,13,7,0,9,5,0,5,6,39,49,20,4,9,3,5,1,4,11,16,43,58,30,1,1,2,3,2,0,0,5,34,37,3,3,2,2,3,7,1,2,7,21,2,1,2,6,14,25,2,3,23,25,8,2,3,1,23,17,8,12,12,6,2,2,1,1,4,21,3,1,2,1,3,2,1,0,0,4,1,0,0,0,1,2,3,0,0,0,0,0,0,0,3"
2024-08-30 18:15:10.479,"2,8,23,16,22,27,7,3,0,0,0,4,17,23,22,31,23,9,1,2,2,11,3,11,7,28,34,27,2,0,6,5,2,5,6,23,28,26,13,1,2,2,0,0,6,23,27,6,2,1,0,1,0,0,4,26,33,18,1,1,1,2,2,9,3,21,35,13,7,1,9,5,0,6,5,39,49,20,4,9,3,5,1,4,11,16,43,58,29,1,1,2,3,2,0,1,5,34,37,4,4,3,2,3,7,1,2,7,20,2,1,2,6,14,25,1,3,23,26,8,2,4,2,23,17,8,12,12,6,2,2,1,1,4,21,4,1,2,0,3,2,1,1,0,4,2,0,0,0,0,1,3,0,0,0,0,0,0,0,3"
2024-08-30 18:15:10.552,"2,8,23,16,22,27,7,3,0,0,1,4,17,23,22,31,22,10,1,2,2,11,3,11,7,28,34,27,2,1,6,5,2,5,5,23,29,26,12,1,2,3,0,0,6,23,27,7,2,1,0,1,0,0,4,26,33,18,1,1,1,2,2,9,2,21,35,13,6,1,9,5,0,6,5,39,49,20,4,9,2,5,1,4,11,16,44,58,29,1,1,2,3,2,0,0,5,34,37,3,3,3,2,3,7,1,2,7,20,3,1,2,6,14,25,2,3,22,25,8,2,4,2,23,17,8,12,12,5,2,2,1,1,4,21,3,1,2,1,3,2,1,0,0,4,1,0,0,0,1,1,3,0,0,0,0,0,0,0,3"
2024-08-30 18:15:10.646,"2,8,23,16,22,27,7,3,0,0,0,4,17,22,22,31,22,9,1,2,3,11,3,11,7,28,34,27,2,1,6,5,2,5,5,23,29,26,12,1,2,3,0,0,7,23,27,7,2,1,0,1,0,0,4,26,33,18,1,1,1,2,2,9,2,21,35,13,6,1,9,5,0,5,5,39,49,20,4,9,2,5,1,3,11,16,44,58,30,1,1,2,3,2,0,1,5,34,36,4,3,3,2,3,7,1,2,6,20,3,2,2,6,13,25,2,3,22,26,8,2,3,2,23,17,8,11,12,6,2,2,1,1,4,21,3,1,2,1,3,2,1,1,0,3,2,0,0,0,0,1,3,0,0,0,0,0,0,0,3"
2024-08-30 18:15:10.725,"2,8,23,16,22,27,7,2,0,1,1,4,17,23,22,31,22,10,1,2,2,11,3,11,7,28,34,27,2,0,6,5,2,5,5,23,28,26,12,1,1,2,0,0,7,23,28,7,1,1,0,1,0,0,4,26,33,18,1,1,2,2,2,9,3,21,34,13,7,1,9,6,0,5,5,39,49,20,4,10,3,5,1,4,11,16,44,58,30,1,1,2,3,3,0,0,6,34,36,3,3,3,2,3,7,1,2,6,20,2,2,2,6,13,25,2,3,22,26,8,2,4,2,23,17,8,12,12,6,2,2,1,1,4,21,3,1,2,1,3,2,1,0,0,4,1,0,0,0,0,1,3,0,0,0,0,0,0,0,3"
2024-08-30 18:15:10.805,"2,8,23,16,23,26,7,3,0,0,1,4,17,23,22,31,22,9,1,2,2,11,2,11,7,29,34,27,2,1,6,5,2,5,5,23,28,26,12,1,2,3,0,0,7,23,27,7,2,1,0,1,0,0,4,26,33,18,1,1,1,2,2,9,2,21,35,13,7,1,9,5,0,6,6,39,49,20,4,9,3,5,1,4,11,16,44,58,29,1,1,3,3,2,0,1,5,34,37,4,3,3,2,3,7,1,1,6,20,3,2,2,6,14,25,2,3,23,26,8,1,3,2,23,17,8,12,12,6,2,1,1,1,4,21,3,1,2,1,3,2,1,1,0,3,2,0,0,0,1,1,3,0,0,0,0,0,0,0,3"
2024-08-30 18:15:10.961,"2,8,23,16,22,27,7,3,0,0,0,4,17,23,22,31,22,9,1,2,2,11,3,11,7,28,34,27,2,0,5,5,2,5,5,23,29,27,13,1,2,2,0,0,7,23,27,7,2,1,0,1,0,0,3,26,33,18,2,1,1,3,2,9,3,21,35,12,7,1,9,5,0,5,6,40,49,19,4,10,3,5,1,4,11,16,43,58,30,1,1,2,3,2,0,1,5,34,37,4,3,3,2,3,7,1,2,6,20,2,1,2,6,14,25,1,3,22,25,8,1,4,2,23,17,8,12,12,6,2,2,1,1,4,21,4,1,2,1,3,2,1,1,0,4,2,0,0,0,1,1,3,0,0,0,0,0,0,0,3"
2024-08-30 18:15:10.977,"2,8,23,15,23,27,7,3,0,0,0,4,17,23,22,31,22,10,1,2,2,11,3,11,7,28,34,27,2,0,6,5,2,5,5,23,28,26,13,1,2,2,0,0,7,23,27,7,2,1,1,1,0,0,4,26,33,18,1,1,1,2,2,9,2,21,34,13,7,1,9,5,0,5,6,39,49,20,4,10,3,5,1,4,11,16,43,58,30,1,1,2,3,2,0,0,5,34,37,3,3,3,2,3,7,1,2,7,20,2,1,2,6,14,25,2,3,23,26,8,2,4,2,23,17,8,12,12,5,2,2,1,1,4,21,4,1,2,1,3,2,1,1,0,4,2,0,0,0,1,1,3,0,0,0,0,0,0,0,3"
2024-08-30 18:15:11.051,"2,8,23,16,23,27,7,3,0,0,0,4,17,23,22,30,23,10,1,2,2,11,3,11,7,29,34,27,2,0,6,5,2,5,5,23,29,26,14,1,2,2,0,0,7,23,27,7,2,1,1,1,0,0,4,26,33,18,1,1,2,2,2,9,3,21,35,13,7,1,9,5,0,5,5,39,49,20,4,10,3,4,1,4,10,16,44,58,30,1,1,2,3,2,0,0,5,34,36,3,3,3,2,3,6,1,2,6,20,2,1,2,6,14,25,2,3,22,25,8,2,4,2,23,17,8,12,12,5,2,2,2,1,4,21,4,1,2,1,3,2,1,0,0,4,1,0,0,0,1,1,3,0,0,0,0,0,0,0,3"
2024-08-30 18:15:11.143,"2,8,23,16,22,27,7,3,0,0,0,4,17,23,22,31,22,10,1,2,2,11,2,11,7,28,34,27,2,1,6,5,2,5,5,23,29,26,14,1,1,2,0,0,7,22,27,7,2,1,1,1,0,0,4,26,33,18,1,1,2,2,2,9,3,21,35,13,7,1,9,5,0,5,5,39,49,20,4,10,3,5,1,4,11,16,43,58,30,1,1,2,3,2,0,0,5,34,36,3,3,2,2,3,7,1,2,7,20,2,2,2,6,14,25,2,3,22,25,8,2,4,2,23,17,8,12,12,5,2,2,1,1,4,21,3,1,2,1,3,2,1,1,0,3,2,0,0,0,0,1,3,0,0,0,0,0,0,0,3"
