timestamp,data
2024-08-30 18:30:58.322,"1,5,14,10,14,30,12,3,0,0,0,2,5,17,20,32,24,7,1,1,0,6,4,29,16,18,11,5,4,2,1,3,6,15,24,36,26,13,4,3,1,2,1,22,33,33,9,5,1,3,0,1,1,14,18,27,6,2,2,4,0,0,3,40,26,20,8,1,1,1,10,7,27,40,49,36,27,6,3,1,2,16,28,26,37,32,30,6,2,2,3,5,18,23,7,10,29,2,1,1,2,9,18,23,2,3,19,2,1,2,3,5,14,2,0,0,6,2,1,1,1,13,29,4,3,3,14,11,2,1,1,24,28,5,7,2,16,34,2,3,1,18,4,0,0,0,1,12,1,2,1,22,3,0,0,0,1,34,5,1"
2024-08-30 18:30:58.430,"1,6,14,11,14,30,12,4,0,0,0,2,7,17,20,32,24,7,1,1,0,5,5,30,16,18,11,6,4,2,1,3,6,15,24,35,26,13,4,2,1,2,1,22,34,33,9,4,2,3,0,1,1,14,18,27,6,2,2,3,0,1,3,40,26,20,8,0,1,1,10,7,27,40,49,37,27,6,3,2,2,15,28,27,36,32,31,6,1,2,3,5,18,23,7,10,29,2,1,1,2,9,19,23,1,3,19,2,1,2,2,5,14,2,0,0,7,2,1,2,2,13,29,3,3,3,15,10,2,1,1,24,28,5,7,2,16,34,2,3,1,18,4,0,0,0,1,12,1,2,1,23,2,0,0,0,1,36,5,1"
2024-08-30 18:30:58.489,"2,6,14,11,14,30,12,3,0,0,0,2,7,17,20,32,23,7,1,1,0,5,5,30,16,18,11,6,4,2,1,3,6,15,25,35,26,13,4,2,1,2,1,22,34,32,9,5,2,3,0,1,1,14,18,27,6,2,2,3,0,1,3,40,26,20,7,1,1,1,10,7,27,40,49,36,27,6,3,1,2,15,28,26,37,32,30,6,2,1,3,5,18,23,7,10,28,2,1,1,2,9,18,23,2,3,19,2,1,2,3,4,14,2,0,0,7,2,1,1,2,13,29,4,3,3,15,10,2,1,1,24,28,5,7,2,16,34,2,3,1,18,4,0,0,0,0,13,2,2,1,22,2,0,0,0,1,36,5,1"
2024-08-30 18:30:58.812,"2,6,14,11,14,30,12,3,0,0,0,2,7,17,20,32,23,7,1,1,0,5,5,31,17,18,11,5,4,2,1,3,6,16,25,36,26,13,4,3,1,2,1,22,33,33,9,4,2,3,0,1,1,14,18,27,6,2,2,3,0,1,3,40,25,20,8,1,1,1,10,7,27,40,49,37,27,6,3,2,3,15,28,26,37,32,30,6,2,1,3,5,18,23,7,10,28,2,1,1,2,9,18,23,2,3,19,2,1,1,3,4,14,2,0,0,7,2,1,1,2,13,29,4,4,3,15,10,2,1,1,24,28,5,7,2,16,34,2,3,2,18,4,0,0,0,0,13,1,2,1,23,2,0,0,0,1,37,5,1"
2024-08-30 18:30:58.813,"2,6,14,11,14,30,12,3,0,0,0,3,9,17,20,32,24,7,1,1,0,5,5,31,17,18,11,6,4,2,1,3,6,15,25,35,26,13,4,2,1,2,1,21,33,32,9,5,1,3,0,1,1,14,18,27,6,2,2,3,0,1,3,40,26,20,8,1,1,1,10,7,27,40,49,37,27,6,3,1,2,15,28,26,37,32,30,6,2,1,3,4,18,23,7,10,28,2,1,1,2,9,18,23,2,3,19,2,1,2,3,5,14,1,0,0,7,2,1,1,2,13,29,4,4,3,16,10,2,1,2,24,28,5,7,2,17,34,1,4,2,18,4,0,0,0,0,13,2,2,1,23,3,0,0,0,1,36,5,1"
2024-08-30 18:30:58.814,"2,7,14,11,14,30,12,4,0,0,0,3,11,17,20,32,24,7,1,1,0,4,5,31,16,18,11,6,4,2,1,2,6,15,24,36,26,13,4,2,1,2,1,21,33,32,9,5,2,3,0,1,1,14,18,27,6,2,2,4,0,1,3,40,26,20,8,1,1,1,10,7,27,40,49,37,27,6,3,2,2,15,28,26,37,32,30,6,2,2,3,4,18,23,7,10,29,2,1,1,2,9,18,23,2,4,19,2,1,2,3,5,14,2,0,1,7,2,1,1,2,13,29,4,3,3,15,10,2,1,1,24,28,5,7,3,17,34,2,4,2,18,4,0,0,0,1,13,2,2,2,23,2,0,0,0,1,37,5,1"
2024-08-30 18:30:58.832,"2,8,13,11,14,30,11,3,0,0,0,3,12,17,20,32,23,7,1,1,0,5,6,31,17,18,11,6,4,2,1,3,6,15,25,35,26,13,4,2,1,2,1,21,33,32,9,5,2,3,0,1,1,15,17,27,6,2,1,3,0,1,3,40,26,20,8,1,1,1,10,7,27,40,49,36,27,6,3,1,3,16,28,26,37,32,30,6,2,2,3,5,17,23,7,10,28,2,2,1,2,10,18,23,2,4,19,2,1,2,3,5,14,2,0,0,7,2,1,1,2,13,29,4,4,3,15,10,2,1,1,24,28,5,7,2,17,34,2,3,2,18,4,0,0,0,1,13,1,1,1,23,2,0,0,0,1,37,5,1"
2024-08-30 18:30:58.907,"2,9,13,11,15,30,12,3,0,0,0,3,14,18,20,32,23,7,1,1,0,4,5,31,17,18,11,6,4,2,1,3,6,15,25,36,26,13,4,2,1,2,1,21,33,32,9,4,2,3,0,1,1,14,18,27,6,2,1,3,0,1,3,40,26,20,8,0,1,1,9,7,27,40,49,37,27,6,3,2,3,15,28,27,37,32,30,6,2,1,3,4,18,23,7,10,29,2,1,1,2,9,18,24,1,3,19,2,1,2,2,5,14,2,0,0,7,2,1,1,2,13,29,4,3,3,16,10,1,1,1,24,27,5,7,3,17,35,2,3,1,18,5,0,0,0,1,12,1,2,1,23,3,0,0,0,1,37,5,1"
2024-08-30 18:30:59.047,"2,10,15,12,14,30,12,3,0,0,0,4,15,17,20,32,23,7,1,1,0,5,5,30,17,19,11,6,4,2,1,3,6,15,25,36,26,13,4,2,1,2,1,21,32,32,9,5,2,3,0,1,1,14,18,27,6,2,2,3,0,1,3,40,26,20,8,1,1,1,10,7,26,40,49,36,27,6,3,1,2,16,28,26,37,32,30,5,1,2,3,5,18,22,7,11,29,2,1,1,2,10,18,23,2,3,19,2,1,2,3,5,14,2,0,1,7,2,1,1,2,13,28,3,4,3,15,10,2,1,1,24,27,5,7,2,17,34,2,4,1,17,4,0,0,0,1,13,1,2,2,23,2,0,0,0,1,37,5,1"
2024-08-30 18:30:59.075,"2,11,16,12,14,30,12,3,0,0,0,5,18,17,20,32,23,7,1,1,0,4,5,28,16,18,11,6,4,2,1,3,6,15,25,36,26,13,4,2,2,2,1,20,33,33,9,4,2,3,0,1,1,14,18,27,6,2,2,3,1,1,3,40,26,21,8,1,1,1,10,7,27,40,49,36,27,6,3,2,2,16,27,26,37,32,31,6,2,2,3,4,18,23,7,10,28,2,2,1,2,10,18,23,2,4,19,2,1,2,3,5,14,2,0,1,7,2,1,1,2,13,28,3,4,3,15,10,2,1,1,24,27,5,7,2,17,34,2,4,2,18,4,0,0,0,1,13,2,2,1,23,2,0,0,0,1,37,5,1"
